DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Finlande,2021,81.9,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Finlande,2022,81.2,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Finlande,2023,81.6,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Finlande,2024,82.4,ip,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,France,2013,82.4,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,France,2014,82.9,b,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,France,2015,82.4,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,France,2016,82.7,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,France,2017,82.7,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,France,2018,82.8,p,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,France,2019,83.0,p,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,France,2020,82.3,p,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,France,2021,82.4,p,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,France,2022,82.3,p,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,France,2023,83.0,p,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,France,2024,83.1,ip,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Géorgie,2014,74.1,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Géorgie,2015,73.0,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Géorgie,2016,72.7,,
